num_soura,num_aya,aya,name_soura
1,1,بسم الله الرحمن الرحيم,الفاتحة
1,2,الحمد لله رب العالمين,الفاتحة
1,3,الرحمن الرحيم,الفاتحة
1,4,مالك يوم الدين,الفاتحة
1,5,إياك نعبد وإياك نستعين,الفاتحة
1,6,اهدنا الصراط المستقيم,الفاتحة
1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,الفاتحة
2,1,الم,البقرة
2,2,ذلك الكتاب لا ريب ۛ فيه ۛ هدى للمتقين,البقرة
2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,البقرة
2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,البقرة
2,5,أولئك على هدى من ربهم ۖ وأولئك هم المفلحون,البقرة
2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,البقرة
2,7,ختم الله على قلوبهم وعلى سمعهم ۖ وعلى أبصارهم غشاوة ۖ ولهم عذاب عظيم,البقرة
2,8,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين,البقرة
2,9,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون,البقرة
2,10,في قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب أليم بما كانوا يكذبون,البقرة
2,11,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,البقرة
2,12,ألا إنهم هم المفسدون ولكن لا يشعرون,البقرة
2,13,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون,البقرة
2,14,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون,البقرة
2,15,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون,البقرة
2,16,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين,البقرة
2,17,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون,البقرة
2,18,صم بكم عمي فهم لا يرجعون,البقرة
2,19,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت ۚ والله محيط بالكافرين,البقرة
2,20,يكاد البرق يخطف أبصارهم ۖ كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وأبصارهم ۚ إن الله على كل شيء قدير,البقرة
2,21,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,البقرة
2,22,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم ۖ فلا تجعلوا لله أندادا وأنتم تعلمون,البقرة
2,23,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين,البقرة
2,24,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة ۖ أعدت للكافرين,البقرة
2,25,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار ۖ كلما رزقوا منها من ثمرة رزقا ۙ قالوا هذا الذي رزقنا من قبل ۖ وأتوا به متشابها ۖ ولهم فيها أزواج مطهرة ۖ وهم فيها خالدون,البقرة
2,26,إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها ۚ فأما الذين آمنوا فيعلمون أنه الحق من ربهم ۖ وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا ۘ يضل به كثيرا ويهدي به كثيرا ۚ وما يضل به إلا الفاسقين,البقرة
